district_nepali,district,confirmed,deaths,recovered
बाग्लुङ,baglung,2,0,2
बाँके,banke,93,1,0
बारा,bara,4,0,0
बर्दिया,bardiya,2,0,0
भोजपुर,bhojpur,1,0,1
चितवन,chitwan,3,0,2
दैलेख,dailekh,1,0,0
दाङ,dang,4,0,0
धादिङ,dhading,2,0,0
धनकुटा,dhankuta,1,0,0
धनुषा,dhanusha,9,0,0
गुल्मी,gulmi,1,0,0
झापा,jhapa,12,0,2
कैलाली,kailali,4,0,4
कञ्चनपुर,kanchanpur,1,0,1
कपिलवस्तु,kapilbastu,46,0,0
काभ्रेपलाञ्चोक,kavre,1,0,0
खोटाङ,khotang,1,0,0
लमजुङ,lamjung,1,0,0
महोत्तरी,mahottari,3,0,0
मकवानपुर,makwanpur,2,0,0
मोरङ,morang,4,0,0
नवलपरासी (पूर्व),nawalparasi1,2,0,0
नवलपरासी (पश्चिम),nawalparasi2,1,0,0
पर्सा,parsa,91,0,3
रामेछाप,ramechhap,1,0,0
रौतहट,rautahat,22,0,1
रुपन्देही,rupandehi,28,0,1
सप्तरी,saptari,1,0,0
सर्लाही,sarlahi,4,0,0
सिन्धुली,sindhuli,1,0,0
सिन्धुपाल्चोक,sindhupalchowk,1,1,0
सिरहा,siraha,1,0,0
सुनसरी,sunsari,2,0,0
उदयपुर,udayapur,33,0,15
काठमाडौं,kathmandu,12,0,5
भक्तपुर,bhaktapur,3,0,0
ललितपुर,lalitpur,1,0,0
